d_insp,cost
5.24563,47200.0
5.84625,41900.0
5.85126,41900.0
5.8944,39800.0
6.03224,37300.0
6.12438,38400.0
6.12532,38200.0
6.16837,43600.0
6.24472,41300.0
6.29444,39300.0
6.30264,39800.0
6.32685,39800.0
6.34935,35600.0
6.40025,34000.0
6.4032,33700.0
6.4032,33700.0
6.41117,36600.0
6.43634,35400.0
6.46303,35400.0
6.51078,38500.0
6.54966,34400.0
6.57213,34600.0
6.59866,32000.0
6.61915,35100.0
6.62634,36800.0
6.67077,35100.0
6.67362,37800.0
6.68089,31700.0
6.71484,33500.0
6.72513,35200.0
6.72888,34300.0
6.73015,32400.0
6.74171,35200.0
6.74312,35900.0
6.74932,35000.0
6.76425,31800.0
6.77015,34900.0
6.77691,39000.0
6.7811,34300.0
6.78277,32500.0
6.78817,33400.0
6.82402,34500.0
6.83787,34600.0
6.83923,33000.0
6.84795,33400.0
6.8498,36400.0
6.8828,33300.0
6.92233,33300.0
6.94274,32900.0
6.94997,31200.0
6.95653,33200.0
6.99927,33700.0
7.02,34800.0
7.02139,32600.0
7.02694,29700.0
7.03322,30400.0
7.04327,30700.0
7.1146,31000.0
7.14341,31300.0
7.14944,30400.0
7.17187,29300.0
7.18783,31900.0
7.18922,30300.0
7.19091,29700.0
7.19217,32800.0
7.19823,34100.0
7.21476,34800.0
7.21924,31100.0
7.24513,31100.0
7.27302,30400.0
7.27464,29400.0
7.27739,33500.0
7.27955,30500.0
7.28245,30800.0
7.28371,31200.0
7.28998,33000.0
7.29009,30100.0
7.295,32600.0
7.30063,30500.0
7.30442,31400.0
7.31907,31100.0
7.3333,32500.0
7.33434,30100.0
7.33618,28400.0
7.33774,31300.0
7.34012,32000.0
7.34708,29200.0
7.34968,33600.0
7.36606,31700.0
7.36759,31200.0
7.37091,29400.0
7.38545,29900.0
7.38606,30400.0
7.3888,32700.0
7.3938,29700.0
7.40198,28500.0
7.40878,31300.0
7.41652,28600.0
7.41694,27800.0
7.41721,31400.0
7.42117,31800.0
7.42683,28300.0
7.42989,30700.0
7.43479,29400.0
7.43688,31300.0
7.44364,31900.0
7.44638,28200.0
7.44767,27800.0
7.45328,29300.0
7.45842,30600.0
7.46893,32400.0
7.48094,27800.0
7.48406,29200.0
7.4965,32900.0
7.5015,30800.0
7.50173,28600.0
7.50232,29300.0
7.51266,31200.0
7.51429,31300.0
7.51567,29000.0
7.51913,29900.0
7.5266,28200.0
7.5277,29000.0
7.52776,30000.0
7.52801,29600.0
7.53427,31100.0
7.53534,32400.0
7.54538,29500.0
7.54618,28500.0
7.55512,28600.0
7.55532,28600.0
7.56038,30000.0
7.56342,31500.0
7.5642,31000.0
7.57128,27500.0
7.57474,29200.0
7.57903,30000.0
7.58298,32200.0
7.59358,28400.0
7.59907,32900.0
7.60057,33600.0
7.60426,29700.0
7.60467,27900.0
7.60553,29200.0
7.62127,29400.0
7.62358,27900.0
7.6254,29400.0
7.62665,29700.0
7.63996,28700.0
7.64023,32100.0
7.64777,27600.0
7.64872,29200.0
7.65169,30600.0
7.65197,29300.0
7.65272,29600.0
7.65308,28300.0
7.65491,32000.0
7.65677,30700.0
7.66823,29400.0
7.66827,29500.0
7.66837,28500.0
7.66879,31600.0
7.67816,30300.0
7.6821,30300.0
7.68789,30500.0
7.69604,27200.0
7.69943,28200.0
7.70431,30200.0
7.70695,28800.0
7.70892,31400.0
7.71172,31500.0
7.71226,28300.0
7.7142,29700.0
7.71491,30600.0
7.71544,29900.0
7.71784,30500.0
7.72041,31600.0
7.72058,31300.0
7.7305,28700.0
7.73595,27900.0
7.73834,29700.0
7.74265,30300.0
7.75224,29900.0
7.7524,29900.0
7.76011,28600.0
7.76046,28600.0
7.77606,30400.0
7.77608,28800.0
7.77727,28600.0
7.78536,29200.0
7.78783,30600.0
7.79275,31300.0
7.7996,29700.0
7.80004,29400.0
7.80564,32200.0
7.81047,28600.0
7.81779,29900.0
7.83091,30300.0
7.83532,28700.0
7.83617,28300.0
7.8394,29200.0
7.8395,30200.0
7.8439,29600.0
7.84498,28700.0
7.84527,30500.0
7.84611,27800.0
7.85216,27000.0
7.85306,30000.0
7.86005,30900.0
7.875,29500.0
7.87872,29800.0
7.88177,30100.0
7.88755,27300.0
7.88769,29500.0
7.88999,27200.0
7.89339,28200.0
7.89601,28400.0
7.89766,28200.0
7.89832,27500.0
7.90068,27700.0
7.91312,29400.0
7.91573,27700.0
7.91988,29300.0
7.92137,26800.0
7.9231,29200.0
7.92381,28200.0
7.92779,31300.0
7.92962,26600.0
7.93009,28200.0
7.93115,28300.0
7.93153,27700.0
7.93182,28700.0
7.93896,29100.0
7.94158,27700.0
7.94255,27500.0
7.94339,28100.0
7.94562,28500.0
7.95447,28400.0
7.95601,29800.0
7.96022,29600.0
7.96035,26200.0
7.96279,28600.0
7.965,26400.0
7.98743,31600.0
7.99385,26600.0
8.00119,27500.0
8.00523,28900.0
8.00979,26800.0
8.0124,29000.0
8.01486,28300.0
8.01558,28200.0
8.01581,28700.0
8.01669,28600.0
8.01717,27200.0
8.02297,29400.0
8.02367,31000.0
8.02748,30400.0
8.03026,30500.0
8.03104,30800.0
8.03319,30000.0
8.03454,29600.0
8.038,27200.0
8.03969,27300.0
8.04527,28000.0
8.05005,29200.0
8.052,28800.0
8.0522,27700.0
8.05458,26500.0
8.05768,26000.0
8.05922,27500.0
8.06286,26400.0
8.06793,29200.0
8.06892,27200.0
8.06915,28200.0
8.07099,29800.0
8.07409,28800.0
8.07656,28900.0
8.07727,28100.0
8.07822,27600.0
8.07832,30300.0
8.07848,28700.0
8.08669,31100.0
8.08737,28500.0
8.09619,28600.0
8.09903,27700.0
8.10363,31000.0
8.10466,31200.0
8.1073,27700.0
8.10953,28000.0
8.11024,27400.0
8.11268,28800.0
8.11457,27300.0
8.11491,26900.0
8.11731,30800.0
8.1296,27900.0
8.1301,27900.0
8.13083,31200.0
8.133,27500.0
8.13565,30300.0
8.13875,28600.0
8.14257,30700.0
8.1456,27400.0
8.15306,29500.0
8.15308,29000.0
8.15433,29500.0
8.15631,28800.0
8.15702,28100.0
8.16626,26900.0
8.16742,26900.0
8.16992,28700.0
8.17581,27100.0
