# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = corrosion_model_model
# start_datetime = 2023-01-27 10:22:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Library/CloudStorage/OneDrive-TheAlanTuringInstitute/Desktop/AllYourBayes/posts/Bayes@Lund/tmp/corrosion_model_data_1.json
# init = 2 (Default)
# random
#   seed = 4192839636 (Default)
# output
#   file = /Users/ddifrancesco/Library/CloudStorage/OneDrive-TheAlanTuringInstitute/Desktop/AllYourBayes/posts/Bayes@Lund/tmp/corrosion_model_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.185937
# Diagonal elements of inverse mass matrix:
# 0.0268829, 0.155114, 0.0115, 0.0177129, 0.00196769, 0.00848294, 0.000611181, 0.072943, 0.423756, 0.00278028, 0.00523397, 0.00355826, 0.0501689, 0.0223243, 0.0179828, 0.176393, 0.0321743, 0.0229671, 0.0452608, 0.0544284, 0.0796799, 0.0271391
6.56029,0.99844,0.185937,5,31,0,6.01964,-0.32249,0.510206,3.8884,3.5317,11.8495,6.63413,19.6407,1.96899,1.22843,9.02779,6.81838,6.98973,2.25731,4.15386,3.24122,2.14375,2.97015,3.24781,1.22874,1.55702,0.797486,3.43611,6.14571,7.68556,15.0907,8.77788,22.6108,5.2168,2.45717,10.5848,7.61586,10.4258,0.752436,1.38462,1.08041,0.714585,0.990049,1.0826,0.409581,0.519005,0.265829,1.14537,1.13735
5.93351,0.946457,0.185937,5,31,0,4.58122,-0.39616,0.65797,4.55655,4.39035,11.2257,5.97337,18.9909,2.08661,1.10734,8.08669,6.67148,7.43026,1.91448,3.24083,4.32987,2.69636,3.0015,3.07859,1.4636,2.67367,0.641875,2.83893,6.47103,7.63118,15.5555,8.66973,21.9925,5.1652,2.57094,10.7604,7.31336,10.2692,0.638159,1.08028,1.44329,0.898786,1.0005,1.0262,0.487866,0.891225,0.213958,0.94631,1.13427
10.0177,0.964816,0.185937,5,31,0,1.16813,-0.103701,0.238167,3.67402,3.24051,11.5362,6.13877,19.5627,1.84562,0.507632,8.81046,5.46871,7.35834,2.0919,4.31945,3.6023,2.98,2.90539,3.64061,2.60751,1.98347,2.74972,3.56341,5.76592,7.55996,15.1385,9.11877,22.468,5.48623,3.11514,10.7939,8.21843,10.9218,0.6973,1.43982,1.20077,0.993334,0.968463,1.21354,0.869169,0.661158,0.916573,1.1878,0.67528
5.77798,0.90858,0.185937,5,31,0,4.01705,0.036592,0.435978,3.73785,4.45129,10.1309,6.17109,19.5166,1.43332,0.873527,8.80528,6.78466,8.37398,2.17165,2.90527,5.17729,3.07738,3.08258,4.20421,2.05313,1.94181,1.47308,2.30953,5.9095,7.35655,15.3082,9.24847,22.5991,5.63753,2.92666,10.7471,8.25774,10.6835,0.723885,0.968423,1.72576,1.02579,1.02753,1.4014,0.684377,0.647269,0.491025,0.769845,1.70294
5.52027,0.901735,0.185937,4,31,0,4.61776,-0.153951,0.339564,3.98799,4.2762,10.5799,5.31357,18.8869,1.37605,0.450713,8.69301,5.75371,8.09302,2.19517,3.51161,5.14869,1.49301,2.74703,3.86589,2.40498,2.12264,1.70805,2.24098,6.18316,7.78781,15.7286,6.80658,21.634,5.24194,2.85569,10.8156,7.46176,10.334,0.731725,1.17054,1.71623,0.49767,0.915677,1.28863,0.801661,0.707546,0.569349,0.746995,0.68184
7.29893,0.932478,0.185937,5,31,0,6.70147,-0.144438,0.284036,3.91968,3.61315,11.8232,5.81715,19.7869,2.07863,0.910655,8.36198,6.05528,6.5071,2.26102,4.08601,3.27209,1.80197,2.57259,2.99747,1.60478,1.99761,1.47177,3.881,6.18071,7.69917,15.0953,7.61913,22.3595,5.0761,2.51544,10.3596,7.52706,10.3881,0.753674,1.362,1.0907,0.600658,0.85753,0.999156,0.534928,0.665872,0.490591,1.29367,1.12489
