# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = corrosion_model_model
# start_datetime = 2023-01-27 10:22:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/ddifrancesco/Library/CloudStorage/OneDrive-TheAlanTuringInstitute/Desktop/AllYourBayes/posts/Bayes@Lund/tmp/corrosion_model_data_4.json
# init = 2 (Default)
# random
#   seed = 4192839641 (Default)
# output
#   file = /Users/ddifrancesco/Library/CloudStorage/OneDrive-TheAlanTuringInstitute/Desktop/AllYourBayes/posts/Bayes@Lund/tmp/corrosion_model_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.209912
# Diagonal elements of inverse mass matrix:
# 0.0206549, 0.146737, 0.0119739, 0.0178825, 0.00207773, 0.00661293, 0.000564605, 0.0887887, 0.598148, 0.00237529, 0.00461855, 0.00377345, 0.050518, 0.0244594, 0.0204216, 0.168747, 0.029942, 0.0260244, 0.0425435, 0.042651, 0.0650595, 0.0270629
6.92245,0.841327,0.209912,5,31,0,9.30089,-0.099746,0.29758,3.97001,4.66788,11.6509,6.62691,19.017,2.94329,1.2662,8.70218,5.62036,7.59131,2.46258,2.75779,3.91592,4.10611,3.49707,2.07939,1.74913,2.50553,2.32606,3.35015,6.43259,7.42566,15.5668,10.733,22.5141,5.02268,3.01533,11.2077,7.94642,10.9415,0.82086,0.919263,1.30531,1.3687,1.16569,0.69313,0.583045,0.835175,0.775354,1.11672,0.814932
5.0491,0.699934,0.209912,5,31,0,3.97812,-0.217198,0.780313,4.23436,2.97014,11.0321,5.22567,19.4369,0.673606,0.507814,8.7605,6.39065,7.50589,1.77402,4.59156,4.33389,1.68093,2.65674,4.93877,2.36052,1.82254,1.25199,3.02293,6.00838,7.5617,15.366,6.9066,22.0936,5.61238,2.86834,10.583,7.64263,10.5288,0.59134,1.53052,1.44463,0.560311,0.885581,1.64626,0.786841,0.607514,0.417328,1.00764,0.497655
3.53699,0.899324,0.209912,4,15,0,1.26324,-0.174658,0.78548,4.11683,2.93667,10.941,5.39729,19.5171,0.654838,0.987955,8.77654,6.30737,7.57547,1.8661,4.54875,4.3548,1.62342,2.8038,4.43139,2.36634,1.9781,1.33252,3.22165,5.98293,7.48542,15.2958,7.02072,22.3209,5.08623,3.3543,10.7546,7.63989,10.7971,0.622032,1.51625,1.4516,0.54114,0.9346,1.47713,0.788781,0.659365,0.444173,1.07388,0.877987
7.1997,0.766238,0.209912,4,31,0,8.32636,-0.171238,0.43381,3.91609,4.11634,10.6714,5.92614,19.3637,1.21401,0.882322,9.00445,5.91202,7.53016,2.41509,3.27847,4.12108,0.963464,2.88409,4.06465,1.82485,1.70614,2.15984,2.69358,6.33118,7.39482,14.7925,6.88961,22.2478,5.27866,2.70717,10.7106,8.07186,10.2237,0.805031,1.09282,1.37369,0.321155,0.961363,1.35488,0.608283,0.568712,0.719948,0.897861,0.398214
10.2945,0.941555,0.209912,4,31,0,-0.795818,-0.0429298,0.270022,4.4864,3.61392,11.7435,6.28965,18.9172,2.13817,0.876254,8.16754,6.4115,7.6044,1.91776,4.06534,3.97101,4.79935,2.9783,3.3191,1.85739,2.71559,1.70496,3.39362,6.40415,7.67926,15.7145,11.089,21.8955,5.45727,2.73364,10.8831,8.11646,10.998,0.639253,1.35511,1.32367,1.59978,0.992766,1.10637,0.61913,0.905197,0.568319,1.13121,0.954465
10.1373,0.938065,0.209912,4,15,0,-2.0892,0.0545249,0.506833,4.03184,4.10951,11.5149,6.17164,18.5373,2.26679,0.178195,8.57312,6.07737,7.66779,2.28228,3.36484,4.34369,2.49712,3.62928,3.13265,2.55727,2.34891,1.96876,3.10238,6.31411,7.47435,15.8586,8.66876,22.1666,5.39944,2.73547,10.922,8.04613,10.7702,0.760758,1.12161,1.4479,0.832374,1.20976,1.04422,0.852424,0.78297,0.656253,1.03413,1.49863
