,id,player.id,player.name,player.name.GK,possession_team.name,play_pattern.name,shot.statsbomb_xg,shot.first_time,shot.outcome.name,shot.type.name,shot.body_part.name,shot.technique.name,location.x,location.y,DistToGoal,DistToKeeper,AngleToGoal,AngleDeviation,avevelocity,DefendersInCone,InCone.GK,under_pressure,shot.end_location.x,shot.end_location.y,DominantFoot,goal,shot.body_part.name_processed
1,b69245a8-00da-4bac-8766-7b1d7548acbc,15042,Dennis Bergkamp,Paul Jones,Arsenal,From Throw In,0.18677612,1,Goal,Open Play,Right Foot,Half Volley,104.4,34.8,16.44384383,6.041522987,71.56505118,10.25119875,21.2964682,0,1,0,120,43.8,Right Foot,1,Stronger Foot
2,0de7bda3-e2a2-4192-a5e0-5d73eae7ec18,15516,Thierry Henry,Paul Jones,Arsenal,Regular Play,0.36041838,1,Goal,Open Play,Right Foot,Normal,106.5,49.2,16.33676835,12.09504031,124.2737055,1.766181111,8.548316252,0,1,1,120,38.6,Right Foot,1,Stronger Foot
3,84db8232-9c12-4980-a6cc-734d1213aa02,38412,Kolo Habib Toure,Paul Jones,Arsenal,From Corner,0.7232792,0,Goal,Open Play,Head,Normal,117.6,39.3,2.5,3.649657518,73.73979529,64.27747308,6.750456469,0,1,0,120,39.4,Right Foot,1,Head
4,d5fa0f1f-ec1c-4e42-aa37-e7d4f826c25f,15515,Patrick Vieira,Kasey Keller,Arsenal,From Counter,0.8369535,1,Goal,Open Play,Right Foot,Normal,111.3,39.7,8.705170877,8.453401682,88.02506599,60.55063436,12.72023091,0,1,0,120,43.1,Right Foot,1,Stronger Foot
5,df38b5ec-4b1d-45a2-bdac-390515164272,19312,Robert Pires ,Kasey Keller,Arsenal,Regular Play,0.16856258,1,Goal,Open Play,Left Foot,Half Volley,109.7,32.9,12.509996,4.716990566,55.4207124,23.41532919,17.00032528,0,1,0,120,42.1,Right Foot,1,Weaker Foot
6,5f6f0387-6ccd-4aed-aba7-bfc581cdffd3,26014,Eduardo Cesar Daude Gaspar,Carlo Cudicini,Arsenal,From Free Kick,0.05423032,0,Goal,Free Kick,Left Foot,Normal,93.2,47.4,27.80287755,1,105.4358619,15.43586189,98.24639989,4,1,0,120,43.2,Left Foot,1,Stronger Foot
7,556d966d-3a1d-41f3-9fcd-348e266e229c,15516,Thierry Henry,Carlo Cudicini,Arsenal,From Free Kick,0.80951947,0,Goal,Open Play,Other,Normal,110.6,40.6,9.419129471,13.23782459,93.65222278,0.680091203,7.786864871,0,0,0,120,42.4,Right Foot,1,Other
8,a80546e9-5730-401c-a63c-8e36f6b1c979,15516,Thierry Henry,Thomas Sorensen,Arsenal,From Free Kick,0.07899955,0,Goal,Free Kick,Right Foot,Normal,97.4,38.3,22.66384786,3.275667871,85.69824173,73.35915445,17.26028504,2,2,0,120,42.8,Right Foot,1,Stronger Foot
9,4c2b7c21-9237-48f3-b9a0-e940cde8dd8e,19312,Robert Pires ,Mark Schwarzer,Arsenal,Regular Play,0.35496974,1,Goal,Open Play,Right Foot,Normal,106.7,35.4,14.07302384,1.431782106,70.92130546,6.98393746,24.03975954,0,1,0,120,42.8,Right Foot,1,Stronger Foot
10,5a9e9eae-30b0-4990-b4cc-ea4f843b93d1,15754,Fredrik Ljungberg,Mark Schwarzer,Arsenal,From Free Kick,0.120782256,1,Goal,Open Play,Right Foot,Normal,108.2,50.3,15.66301376,2.147091055,131.1171014,21.12435796,13.68372125,1,1,0,120,38.9,Right Foot,1,Stronger Foot
