,id,player.id,player.name,player.name.GK,possession_team.name,play_pattern.name,shot.statsbomb_xg,shot.first_time,shot.outcome.name,shot.type.name,shot.body_part.name,shot.technique.name,location.x,location.y,DistToGoal,DistToKeeper,AngleToGoal,AngleDeviation,avevelocity,DefendersInCone,InCone.GK,under_pressure,shot.end_location.x,shot.end_location.y,DominantFoot,goal,shot.body_part.name_processed
1,b69245a8-00da-4bac-8766-7b1d7548acbc,15042,Dennis Bergkamp,Paul Jones,Arsenal,From Throw In,0.18677612,1,Goal,Open Play,Right Foot,Half Volley,104.4,34.8,16.44384383,6.041522987,18.43494882,10.25119875,21.2964682,0,1,0,120,43.8,Right Foot,1,Stronger Foot
2,86c1c1ba-71a9-401e-a11e-c43716c2f543,15516,Thierry Henry,Paul Jones,Arsenal,From Throw In,0.031963106,0,Saved,Open Play,Right Foot,Normal,107.2,18.1,25.36631625,2.731300057,59.69478665,6.555718862,28.09509951,1,1,0,118.7,38.9,Right Foot,0,Stronger Foot
3,83491870-daa3-4174-b59a-f96d63c9881d,40221,Gilberto Aparecido da Silva,Paul Jones,Arsenal,From Throw In,0.101165496,1,Off T,Open Play,Right Foot,Normal,109.1,50.3,14.9966663,2.912043956,43.37885409,30.67575001,16.89426132,1,1,0,120,29.5,Right Foot,0,Stronger Foot
4,35853d1e-c9c3-44b1-8a5e-0fc5000c5111,15637,"Sulzeer Jeremiah ""Sol"" Campbell",Paul Jones,Arsenal,From Corner,0.03724119,0,Off T,Open Play,Head,Normal,109.1,39.3,10.92245394,1.019803903,3.674499521,14.98443199,11.29365167,3,3,1,120,33.4,Right Foot,0,Head
5,09719618-3f33-445d-99c8-fb8cf218038b,15042,Dennis Bergkamp,Paul Jones,Arsenal,From Corner,0.011366472,0,Saved,Open Play,Left Foot,Half Volley,91.7,39.9,28.30017668,0.98488578,0.202457742,24.16494672,27.66050133,2,1,0,118.3,42.4,Right Foot,0,Weaker Foot
6,d77af37c-91b4-4c9c-843e-7889f84bd380,15042,Dennis Bergkamp,Paul Jones,Arsenal,From Goal Kick,0.23466155,0,Saved,Open Play,Right Foot,Normal,109.6,50.3,14.63728117,5.341348144,44.72321095,7.119562465,16.36536133,0,1,1,116.2,44.8,Right Foot,0,Stronger Foot
7,825e8cb8-199a-43c9-b4fd-84ae9bfe5c19,26014,Eduardo Cesar Daude Gaspar,Paul Jones,Arsenal,From Throw In,0.040604666,1,Off T,Open Play,Left Foot,Half Volley,100.3,30.5,21.87098535,2.202271555,25.74492221,24.78261794,24.35310872,2,1,0,120,34.9,Left Foot,0,Stronger Foot
8,0de7bda3-e2a2-4192-a5e0-5d73eae7ec18,15516,Thierry Henry,Paul Jones,Arsenal,Regular Play,0.36041838,1,Goal,Open Play,Right Foot,Normal,106.5,49.2,16.33676835,12.09504031,34.27370553,1.766181111,8.548316252,0,1,1,120,38.6,Right Foot,1,Stronger Foot
9,8c5f124e-e4c5-4c48-bf7d-dda75e3c9932,15516,Thierry Henry,Paul Jones,Arsenal,Regular Play,0.019422866,0,Saved,Open Play,Right Foot,Normal,94.5,28.8,27.85121182,1.843908891,23.71183459,16.88946005,31.34188971,1,2,0,117.7,38.8,Right Foot,0,Stronger Foot
10,84db8232-9c12-4980-a6cc-734d1213aa02,38412,Kolo Habib Toure,Paul Jones,Arsenal,From Corner,0.7232792,0,Goal,Open Play,Head,Normal,117.6,39.3,2.5,3.649657518,16.26020471,64.27747308,6.750456469,0,1,0,120,39.4,Right Foot,1,Head
